Sales_Value,date,product
8750,30/06/2011 00:00,LOCK WASHER
5250,31/07/2011 00:00,LOCK WASHER
5250,31/08/2011 00:00,LOCK WASHER
8750,30/09/2011 00:00,LOCK WASHER
8750,31/10/2011 00:00,LOCK WASHER
8750,30/11/2011 00:00,LOCK WASHER
12250,31/12/2011 00:00,LOCK WASHER
5250,31/01/2012 00:00,LOCK WASHER
5250,29/02/2012 00:00,LOCK WASHER
5250,31/03/2012 00:00,LOCK WASHER
5250,30/04/2012 00:00,LOCK WASHER
5250,31/05/2012 00:00,LOCK WASHER
8750,30/06/2012 00:00,LOCK WASHER
8750,31/07/2012 00:00,LOCK WASHER
8750,31/08/2012 00:00,LOCK WASHER
8750,30/09/2012 00:00,LOCK WASHER
8750,31/10/2012 00:00,LOCK WASHER
15750,30/11/2012 00:00,LOCK WASHER
15750,31/12/2012 00:00,LOCK WASHER
5250,31/01/2013 00:00,LOCK WASHER
8750,28/02/2013 00:00,LOCK WASHER
8750,31/03/2013 00:00,LOCK WASHER
8750,30/04/2013 00:00,LOCK WASHER
8750,31/05/2013 00:00,LOCK WASHER
8750,30/06/2013 00:00,LOCK WASHER
12250,31/07/2013 00:00,LOCK WASHER
12250,31/08/2013 00:00,LOCK WASHER
12250,30/09/2013 00:00,LOCK WASHER
12250,31/10/2013 00:00,LOCK WASHER
19250,30/11/2013 00:00,LOCK WASHER
19250,31/12/2013 00:00,LOCK WASHER
8750,31/01/2014 00:00,LOCK WASHER
8750,28/02/2014 00:00,LOCK WASHER
8750,31/03/2014 00:00,LOCK WASHER
12250,30/04/2014 00:00,LOCK WASHER
12250,31/05/2014 00:00,LOCK WASHER
12250,30/06/2014 00:00,LOCK WASHER
12250,31/07/2014 00:00,LOCK WASHER
12250,31/08/2014 00:00,LOCK WASHER
12250,30/09/2014 00:00,LOCK WASHER
15750,31/10/2014 00:00,LOCK WASHER
15750,30/11/2014 00:00,LOCK WASHER
19250,31/12/2014 00:00,LOCK WASHER
8750,31/01/2015 00:00,LOCK WASHER
12250,28/02/2015 00:00,LOCK WASHER
12250,31/03/2015 00:00,LOCK WASHER
12250,30/04/2015 00:00,LOCK WASHER
12250,31/05/2015 00:00,LOCK WASHER
12250,30/06/2015 00:00,LOCK WASHER
15750,31/07/2015 00:00,LOCK WASHER
12250,31/08/2015 00:00,LOCK WASHER
15750,30/09/2015 00:00,LOCK WASHER
15750,31/10/2015 00:00,LOCK WASHER
19250,30/11/2015 00:00,LOCK WASHER
22750,31/12/2015 00:00,LOCK WASHER
12250,31/01/2016 00:00,LOCK WASHER
12250,29/02/2016 00:00,LOCK WASHER
15750,31/03/2016 00:00,LOCK WASHER
15750,30/04/2016 00:00,LOCK WASHER
15750,31/05/2016 00:00,LOCK WASHER
15750,30/06/2016 00:00,LOCK WASHER
