,Dimension,Region,Delar Code,Sale_Dim,Segment,Sold Customer Id,Dealer City,date,Sales_Value,Qty,Sale Qty,Value,Year,Month
0,Potential,EAST,3924035BA,Non OTC Sales,1623C,CUS001,"MOUZA-GOSSAIPUR, PO-GOSSAIPUR,SILCH",01/07/2003,232000,2500,4000,932000,2003,7
1,Potential,EAST,4101034B,Non OTC Sales,1617R,CUS002,"MOUZA - PANBARI NH 37,KAMRUP",01/08/2003,260000,1500,3000,960000,2003,8
2,Potential,NORTH,4101039B,Non OTC Sales,1014R,CUS003,"RAMPUR ROAD, VILLAGE JAUHARPUR, BAR",01/09/2003,252000,1500,3000,952000,2003,9
3,Potential,NORTH,4108029B,Non OTC Sales,3723R,CUS004,BILASPUR,01/10/2003,71000,2500,4000,771000,2003,10
4,Potential,NORTH,3908029BA,Non OTC Sales,1414R,CUS005,"DEONGHAT,SOLAN",01/11/2003,9000,2500,4000,709000,2003,11
5,Potential,NORTH,3908029BB,Non OTC Sales,3123R,CUS006,"DISTT.-KANGRA ,",01/12/2003,-52000,2500,4000,648000,2003,12
6,Potential,SOUTH,3911012BI,Non OTC Sales,2523C,CUS007,"KARATHODE,MALAPPURAM",01/01/2004,1000,3500,5000,701000,2004,1
7,Potential,SOUTH,3911012BJ,Non OTC Sales,3128C,CUS008,IDUKKI,01/02/2004,73000,1500,3000,773000,2004,2
8,Potential,SOUTH,3911012BD,Non OTC Sales,1217C,CUS009,PALAKKAD,01/03/2004,95000,1500,3000,795000,2004,3
9,Potential,SOUTH,4111012B,Non OTC Sales,5528T,CUS010,"NEDUMBASSERY, KOCHI",01/04/2004,306000,1500,3000,1006000,2004,4
10,Potential,SOUTH,3911012BG,Non OTC Sales,2823R,CUS011,"PAMBADY, KOTTAYAM DISTRICT,",01/05/2004,307000,1500,3000,1007000,2004,5
11,Potential,SOUTH,3911012BA,Non OTC Sales,4023T,CUS012,TRIVANDRUM,01/06/2004,371000,1500,3000,1071000,2004,6
